Suchbegriff;Tags
Art. 184 OR;"Kaufvertrag; Rechte und Pflichten"
Art. 185 OR;"Kaufvertrag; Nutzen und Gefahr"
Art. 186 OR;"Kaufvertrag; Vorbehalt; kantonale Gesetzgebung"
Art. 187 OR;"Kaufvertrag; Gegenstand; Farniskauf"
Art. 188 OR;"Kaufvertrag; Farniskauf; Verpflichtungen des Verkäufers; Übergabe; Kosten der Übergabe"
Art. 189 OR;"Kaufvertrag; Farniskauf; Verpflichtungen des Verkäufers; Übergabe; Transportkosten"
Art. 190 OR;"Kaufvertrag; Farniskauf; Verpflichtungen des Verkäufers; Übergabe;  Verzug in der Übergabe; Rücktritt im kaufmännischen Verkehr"
Art. 191 OR;"Kaufvertrag; Farniskauf; Verpflichtungen des Verkäufers; Übergabe;  Verzug in der Übergabe; Schadenersatzpflicht; Schadenberechnung"
Art. 192 OR;"Kaufvertrag; Farniskauf; Verpflichtungen des Verkäufers; Gewährleistung des veräusserten Rechtes; Verpflichtung zur Gewährleistung; Rechtsgewährleistung; Rechtsmangel"
Art. 193 OR;"Kaufvertrag; Farniskauf; Verpflichtungen des Verkäufers; Gewährleistung des veräusserten Rechtes; Verfahren; Streitverkündung"
Art. 194 OR;"Kaufvertrag; Farniskauf; Verpflichtungen des Verkäufers; Gewährleistung des veräusserten Rechtes; Verfahren; Herausgabe ohne richterliche Entscheidung"
Art. 195 OR;"Kaufvertrag; Farniskauf; Verpflichtungen des Verkäufers; Gewährleistung des veräusserten Rechtes; Ansprüche des Käufers; vollständige Entwehrung"
Art. 363 OR;"Werkvertrag; Begriff"
Art. 364 OR;"Werkvertrag; Wirkungen; Pflichten des Unternehmers; Allgemeines"
Art. 365 OR;"Werkvertrag; Wirkungen; Pflichten des Unternehmers; Betreffend den Stoff; Stoff; Werkstoff"
Art. 366 OR;"Werkvertrag; Wirkungen; Pflichten des Unternehmers; Rechtzeitige Vornahme der Arbeit; vertragsgemässe Ausführung der Arbeit; Rechtzeitige Vornahme und vertragsgemässe Ausführung der Arbeit"
Art. 367 OR;"Werkvertrag; Wirkungen; Pflichten des Unternehmers; Haftung für Mängel; Feststellung der Mängel; Mängelrüge"
Art. 368 OR;"Werkvertrag; Wirkungen; Pflichten des Unternehmers; Haftung für Mängel; Recht des Bestellers bei Mängeln"
Art. 369 OR;"Werkvertrag; Wirkungen; Pflichten des Unternehmers; Haftung für Mängel; Verantwortlichkeit des Bestellers"
Art. 370 OR;"Werkvertrag; Wirkungen; Pflichten des Unternehmers; Haftung für Mängel; Genehmigung des Werkes"
Art. 371 OR;"Werkvertrag; Wirkungen; Pflichten des Unternehmers; Haftung für Mängel; Verjährung"
Art. 319 OR;"Arbeitsvertrag; Einzelarbeitsvertrag; Begriff; Entstehung"
Art. 320 OR;"Arbeitsvertrag; Einzelarbeitsvertrag; Begriff; Entstehung"
Art. 321 OR;"Arbeitsvertrag; Einzelarbeitsvertrag; Pflichten des Arbeitnehmers; Persönliche Arbeitspflicht"
Art. 321a OR;"Arbeitsvertrag; Einzelarbeitsvertrag; Pflichten des Arbeitnehmers; Sorgfalts- und Treuepflicht; Sorgfaltspflicht; Treuepflicht"
Art. 321b OR;"Arbeitsvertrag; Einzelarbeitsvertrag; Pflichten des Arbeitnehmers; Rechenschafts- und Herausgabepflicht; Rechenschaftspflicht; Herausgabepflicht"
Art. 321c OR;"Arbeitsvertrag; Einzelarbeitsvertrag; Pflichten des Arbeitnehmers; Überstundenarbeit; Überstunden"
Art. 321d OR;"Arbeitsvertrag; Einzelarbeitsvertrag; Pflichten des Arbeitnehmers; Befolgung von Anordnungen und Weisungen; Anordnungen und Weisungen; Anordnungen; Weisungen"
Art. 321e OR;"Arbeitsvertrag; Einzelarbeitsvertrag; Pflichten des Arbeitnehmers; Haftung des Arbeitnehmers; Haftung"
Art. 322 OR;"Arbeitsvertrag; Einzelarbeitsvertrag; Pflichten des Arbeitgebers; Lohn; Höhe Lohn"
Art. 322a OR;"Arbeitsvertrag; Einzelarbeitsvertrag; Pflichten des Arbeitgebers; Lohn; Anteil am Geschäftsergebnis"
Art. 322b OR;"Arbeitsvertrag; Einzelarbeitsvertrag; Pflichten des Arbeitgebers; Lohn; Provision; Entstehung"
Art. 322c OR;"Arbeitsvertrag; Einzelarbeitsvertrag; Pflichten des Arbeitgebers; Lohn; Provision; Abrechnung"
Art. 322d OR;"Arbeitsvertrag; Einzelarbeitsvertrag; Pflichten des Arbeitgebers; Lohn; Gratifikation"
